order_id,customer_id,product_id,category,price,quantity,order_date,shipping_date,delivery_status,payment_method,device_type,channel,shipping_address,customer_segment,total_amount,order_month,order_year,order_weekday,shipping_delay_days,month_sort,month_name
145f6e9c-2393-4fd4-a2ca-ea513dc7ae6e,13,376,Beauty,233.37,1,2024-06-17 14:59:58.897063,2024-06-18 14:59:58.897063,Shipped,Google Pay,Desktop,Paid Search,"9931 Romero Garden Suite 823, New Rachelshire, Wisconsin 52764",VIP,233.37,2024-06,2024,Monday,1.0,2024-06,Jun-2024
fabeee77-bb36-47f9-9bc9-310e66093daf,1223,601,Home,329.5,1,2024-04-22 14:59:58.897063,2024-04-26 14:59:58.897063,Delivered,Apple Pay,Tablet,Email,"029 Scott Passage Apt. 749, Davisville, Wisconsin 81784",VIP,329.5,2024-04,2024,Monday,4.0,2024-04,Apr-2024
49a1ae7a-ceea-42ce-a86d-b676bc2e086b,900,240,Books,371.66,3,2024-09-16 14:59:58.897063,2024-09-23 14:59:58.897063,Shipped,PayPal,Desktop,Organic,"5378 Green Locks, North Mollymouth, Florida 98089",Returning,1114.98,2024-09,2024,Monday,7.0,2024-09,Sep-2024
28128977-bdd1-40c4-a7cc-9a97fc1d84f7,97,168,Electronics,443.02,3,2025-03-20 14:59:58.897063,2025-03-26 14:59:58.897063,Delivered,Debit Card,Desktop,Organic,"813 Ashley Crossroad Suite 668, New Christineland, Florida 81607",Returning,1329.06,2025-03,2025,Thursday,6.0,2025-03,Mar-2025
a1a93ce7-c99c-42b0-85f1-db31cc40ff84,1636,455,Electronics,38.31,1,2024-12-25 14:59:58.897063,2025-01-01 14:59:58.897063,Shipped,Credit Card,Desktop,Organic,"1653 William Brooks, South Jerrystad, Idaho 96686",VIP,38.31,2024-12,2024,Wednesday,7.0,2024-12,Dec-2024
4df4aefb-6b9b-4f45-bcd2-c8273394be21,1542,194,Beauty,40.97,1,2024-06-10 14:59:58.897063,2024-06-17 14:59:58.897063,Shipped,Apple Pay,Mobile,Social,"47890 Jacqueline Motorway, Chambersville, New York 91223",VIP,40.97,2024-06,2024,Monday,7.0,2024-06,Jun-2024
1b096207-70cd-41f6-bd53-326afcb412cd,1009,305,Electronics,310.61,1,2024-10-30 14:59:58.897063,2024-11-01 14:59:58.897063,Delivered,PayPal,Desktop,Paid Search,"81366 Petersen Island, West Robertchester, Nebraska 27936",Returning,310.61,2024-10,2024,Wednesday,2.0,2024-10,Oct-2024
49a5d4eb-366b-4f00-b696-af827717386f,594,186,Electronics,12.28,1,2024-09-04 14:59:58.897063,2024-09-09 14:59:58.897063,Delivered,Google Pay,Desktop,Organic,"23918 Bruce Island Suite 298, East Leslieton, Delaware 96092",Returning,12.28,2024-09,2024,Wednesday,5.0,2024-09,Sep-2024
246d6014-1d9e-4049-92d7-4bd1db6cb2bc,1,436,Electronics,377.88,1,2024-06-18 14:59:58.897063,2024-06-24 14:59:58.897063,Delivered,Credit Card,Mobile,Email,"1019 Elizabeth Course, South Elizabeth, Minnesota 75403",VIP,377.88,2024-06,2024,Tuesday,6.0,2024-06,Jun-2024
e0108b35-2635-48bb-b2e5-a986d97593b1,1282,331,Beauty,381.59,2,2024-06-25 14:59:58.897063,2024-07-02 14:59:58.897063,Delivered,PayPal,Desktop,Organic,"504 Jasmine Grove, Lake Evan, South Dakota 68129",Returning,763.18,2024-06,2024,Tuesday,7.0,2024-06,Jun-2024
